effect,beta_mean,pct_change,hdi_3%,hdi_97%
Batting avg  | ODI vs Test,-0.0967,-9.2,-0.1258,-0.0633
Batting avg  | T20 vs Test,-0.3184,-27.3,-0.3578,-0.2798
Batting avg  | T20 vs ODI,-0.2216,-19.9,-0.252,-0.19
Batting SR   | ODI vs Test,0.4574,58.0,0.4411,0.4726
Batting SR   | T20 vs Test,0.8491,133.7,0.8306,0.8675
Batting SR   | T20 vs ODI,0.3917,47.9,0.3774,0.4081
Bowling econ | ODI vs Test,0.4598,58.4,0.4497,0.4705
Bowling econ | T20 vs Test,0.8658,137.7,0.8524,0.8783
Bowling econ | T20 vs ODI,0.406,50.1,0.3949,0.4175
Bowling avg  | ODI vs Test,-0.0596,-5.8,-0.0825,-0.0361
Bowling avg  | T20 vs Test,-0.3786,-31.5,-0.4051,-0.3485
Bowling avg  | T20 vs ODI,-0.319,-27.3,-0.3441,-0.2955
